name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 11.6004, 0, 0, 0, 0, 0, 1
addiu_1, passed, 10.3888, 0, 0, 0, 0, 0, 5
addiu_2, passed, 10.4618, 0, 0, 0, 0, 0, 3
addiu_3, passed, 11.7348, 0, 0, 0, 0, 0, 1
addiu_4, passed, 11.8417, 0, 0, 0, 0, 0, 1
addi_0, passed, 11.7808, 0, 0, 0, 0, 0, 1
addi_1, passed, 10.2316, 0, 0, 0, 0, 0, 5
addi_2, passed, 10.6291, 0, 0, 0, 0, 0, 3
addi_3, passed, 10.5808, 0, 0, 0, 0, 0, 1
addu_0, passed, 11.9132, 0, 0, 0, 0, 0, 1
addu_1, passed, 11.6534, 0, 0, 0, 0, 0, 1
addu_2, passed, 10.5904, 0, 0, 0, 0, 0, 1
addu_3, passed, 10.95, 0, 0, 0, 0, 0, 1
addu_4, passed, 10.6446, 0, 0, 0, 0, 0, 1
addu_5, passed, 10.494, 0, 0, 0, 0, 0, 1
addu_6, passed, 10.8736, 0, 0, 0, 0, 0, 1
add_0, passed, 10.7227, 0, 0, 0, 0, 0, 1
add_1, passed, 11.3443, 0, 0, 0, 0, 0, 1
add_2, passed, 11.5095, 0, 0, 0, 0, 0, 1
add_3, passed, 11.8321, 0, 0, 0, 0, 0, 1
add_4, passed, 11.7918, 0, 0, 0, 0, 0, 1
add_5, passed, 11.9821, 0, 0, 0, 0, 0, 1
andi_0, passed, 10.7768, 0, 0, 0, 0, 0, 1
andi_1, passed, 11.5904, 0, 0, 0, 0, 0, 1
andi_2, passed, 11.639, 0, 0, 0, 0, 0, 1
andi_3, passed, 12.1799, 0, 0, 0, 0, 0, 1
andi_4, passed, 11.6909, 0, 0, 0, 0, 0, 1
and_0, passed, 11.2255, 0, 0, 0, 0, 0, 1
and_1, passed, 11.9249, 0, 0, 0, 0, 0, 1
and_2, passed, 11.5622, 0, 0, 0, 0, 0, 1
and_3, passed, 11.4947, 0, 0, 0, 0, 0, 1
and_4, passed, 11.9495, 0, 0, 0, 0, 0, 1
divu_0, passed, 10.326, 0, 0, 0, 0, 0, 3
divu_1, passed, 9.97974, 0, 0, 0, 0, 0, 3
divu_2, passed, 10.5246, 0, 0, 0, 0, 0, 3
divu_3, passed, 10.239, 0, 0, 0, 0, 0, 3
divu_4, passed, 10.4126, 0, 0, 0, 0, 0, 3
divu_5, passed, 10.4345, 0, 0, 0, 0, 0, 3
divu_6, passed, 10.4746, 0, 0, 0, 0, 0, 3
divu_7, passed, 10.2474, 0, 0, 0, 0, 0, 3
div_0, passed, 10.2555, 0, 0, 0, 0, 0, 3
div_1, passed, 10.4944, 0, 0, 0, 0, 0, 3
div_2, passed, 10.2904, 0, 0, 0, 0, 0, 3
div_3, passed, 10.5127, 0, 0, 0, 0, 0, 3
div_4, passed, 10.3223, 0, 0, 0, 0, 0, 3
div_5, passed, 10.4231, 0, 0, 0, 0, 0, 3
div_6, passed, 11.2349, 0, 0, 0, 0, 0, 3
div_7, passed, 10.2119, 0, 0, 0, 0, 0, 3
lui_0, passed, 11.3183, 0, 0, 0, 0, 0, 1
lui_1, passed, 10.5124, 0, 0, 0, 0, 0, 1
multu_0, passed, 10.51, 0, 0, 0, 0, 0, 3
multu_1, passed, 10.2182, 0, 0, 0, 0, 0, 3
multu_2, passed, 10.4844, 0, 0, 0, 0, 0, 3
multu_3, passed, 10.3757, 0, 0, 0, 0, 0, 3
multu_4, passed, 10.5583, 0, 0, 0, 0, 0, 3
multu_5, passed, 10.3181, 0, 0, 0, 0, 0, 3
multu_6, passed, 10.0978, 0, 0, 0, 0, 0, 3
multu_7, passed, 10.442, 0, 0, 0, 0, 0, 3
mult_0, passed, 10.2608, 0, 0, 0, 0, 0, 3
mult_1, passed, 10.4114, 0, 0, 0, 0, 0, 3
mult_2, passed, 10.298, 0, 0, 0, 0, 0, 3
mult_3, passed, 10.5291, 0, 0, 0, 0, 0, 3
mult_4, passed, 10.0662, 0, 0, 0, 0, 0, 3
mult_5, passed, 10.2573, 0, 0, 0, 0, 0, 3
mult_6, passed, 10.5647, 0, 0, 0, 0, 0, 3
mult_7, passed, 10.1441, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 10.3608, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 10.9818, 0, 0, 0, 0, 0, 2
nop, passed, 10.8638, 0, 0, 0, 0, 0, 3
nor_0, passed, 12.4949, 0, 0, 0, 0, 0, 1
nor_1, passed, 11.6535, 0, 0, 0, 0, 0, 1
nor_2, passed, 11.8833, 0, 0, 0, 0, 0, 1
