name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 12.4732, 0, 0, 0, 0, 0, 1
addiu_1, passed, 10.7424, 0, 0, 0, 0, 0, 5
addiu_2, passed, 11.0343, 0, 0, 0, 0, 0, 3
addiu_3, passed, 12.7494, 0, 0, 0, 0, 0, 1
addiu_4, passed, 11.4379, 0, 0, 0, 0, 0, 1
addi_0, passed, 11.617, 0, 0, 0, 0, 0, 1
addi_1, passed, 10.4061, 0, 0, 0, 0, 0, 5
addi_2, passed, 10.5845, 0, 0, 0, 0, 0, 3
addi_3, passed, 11.9528, 0, 0, 0, 0, 0, 1
addu_0, passed, 12.4145, 0, 0, 0, 0, 0, 1
addu_1, passed, 12.4028, 0, 0, 0, 0, 0, 1
addu_2, passed, 12.3993, 0, 0, 0, 0, 0, 1
addu_3, passed, 12.6799, 0, 0, 0, 0, 0, 1
addu_4, passed, 12.3912, 0, 0, 0, 0, 0, 1
addu_5, passed, 12.0382, 0, 0, 0, 0, 0, 1
addu_6, passed, 11.9759, 0, 0, 0, 0, 0, 1
add_0, passed, 11.8055, 0, 0, 0, 0, 0, 1
add_1, passed, 11.7683, 0, 0, 0, 0, 0, 1
add_2, passed, 12.2661, 0, 0, 0, 0, 0, 1
add_3, passed, 12.0097, 0, 0, 0, 0, 0, 1
add_4, passed, 11.6529, 0, 0, 0, 0, 0, 1
add_5, passed, 11.7974, 0, 0, 0, 0, 0, 1
andi_0, passed, 11.824, 0, 0, 0, 0, 0, 1
andi_1, passed, 11.7432, 0, 0, 0, 0, 0, 1
andi_2, passed, 11.7597, 0, 0, 0, 0, 0, 1
andi_3, passed, 11.3598, 0, 0, 0, 0, 0, 1
andi_4, passed, 12.3771, 0, 0, 0, 0, 0, 1
and_0, passed, 11.8045, 0, 0, 0, 0, 0, 1
and_1, passed, 11.6626, 0, 0, 0, 0, 0, 1
and_2, passed, 13.3572, 0, 0, 0, 0, 0, 1
and_3, passed, 11.7606, 0, 0, 0, 0, 0, 1
and_4, passed, 11.9066, 0, 0, 0, 0, 0, 1
divu_0, passed, 10.6187, 0, 0, 0, 0, 0, 3
divu_1, passed, 10.2893, 0, 0, 0, 0, 0, 3
divu_2, passed, 10.7009, 0, 0, 0, 0, 0, 3
divu_3, passed, 10.5346, 0, 0, 0, 0, 0, 3
divu_4, passed, 10.6518, 0, 0, 0, 0, 0, 3
divu_5, passed, 10.3736, 0, 0, 0, 0, 0, 3
divu_6, passed, 10.7163, 0, 0, 0, 0, 0, 3
divu_7, passed, 10.2394, 0, 0, 0, 0, 0, 3
div_0, passed, 10.8984, 0, 0, 0, 0, 0, 3
div_1, passed, 10.698, 0, 0, 0, 0, 0, 3
div_2, passed, 10.2078, 0, 0, 0, 0, 0, 3
div_3, passed, 10.6823, 0, 0, 0, 0, 0, 3
div_4, passed, 10.5499, 0, 0, 0, 0, 0, 3
div_5, passed, 10.8128, 0, 0, 0, 0, 0, 3
div_6, passed, 10.9882, 0, 0, 0, 0, 0, 3
div_7, passed, 10.2868, 0, 0, 0, 0, 0, 3
lui_0, passed, 11.69, 0, 0, 0, 0, 0, 1
lui_1, passed, 11.6458, 0, 0, 0, 0, 0, 1
multu_0, passed, 10.2843, 0, 0, 0, 0, 0, 3
multu_1, passed, 12.0627, 0, 0, 0, 0, 0, 3
