name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 9.55432, 0, 0, 0, 0, 0, 1
addiu_1, passed, 10.2064, 0, 0, 0, 0, 0, 5
addiu_2, passed, 9.77227, 0, 0, 0, 0, 0, 3
addiu_3, passed, 10.4545, 0, 0, 0, 0, 0, 1
addiu_4, passed, 9.45743, 0, 0, 0, 0, 0, 1
addi_0, passed, 9.92591, 0, 0, 0, 0, 0, 1
addi_1, passed, 9.52809, 0, 0, 0, 0, 0, 5
addi_2, passed, 9.55606, 0, 0, 0, 0, 0, 3
addi_3, passed, 9.44614, 0, 0, 0, 0, 0, 1
addu_0, passed, 9.6442, 0, 0, 0, 0, 0, 1
addu_1, passed, 9.55708, 0, 0, 0, 0, 0, 1
addu_2, passed, 9.43936, 0, 0, 0, 0, 0, 1
addu_3, passed, 9.80861, 0, 0, 0, 0, 0, 1
addu_4, passed, 9.69952, 0, 0, 0, 0, 0, 1
addu_5, passed, 9.47301, 0, 0, 0, 0, 0, 1
addu_6, passed, 9.73238, 0, 0, 0, 0, 0, 1
add_0, passed, 9.46359, 0, 0, 0, 0, 0, 1
add_1, passed, 9.56457, 0, 0, 0, 0, 0, 1
add_2, passed, 9.45929, 0, 0, 0, 0, 0, 1
add_3, passed, 9.651, 0, 0, 0, 0, 0, 1
add_4, passed, 9.57763, 0, 0, 0, 0, 0, 1
add_5, passed, 9.9273, 0, 0, 0, 0, 0, 1
andi_0, passed, 9.63949, 0, 0, 0, 0, 0, 1
andi_1, passed, 9.63054, 0, 0, 0, 0, 0, 1
andi_2, passed, 9.76, 0, 0, 0, 0, 0, 1
andi_3, passed, 9.91966, 0, 0, 0, 0, 0, 1
andi_4, passed, 9.66633, 0, 0, 0, 0, 0, 1
and_0, passed, 9.72662, 0, 0, 0, 0, 0, 1
and_1, passed, 9.56266, 0, 0, 0, 0, 0, 1
and_2, passed, 9.7075, 0, 0, 0, 0, 0, 1
and_3, passed, 9.58989, 0, 0, 0, 0, 0, 1
and_4, passed, 9.46766, 0, 0, 0, 0, 0, 1
divu_0, passed, 11.8645, 0, 0, 0, 0, 0, 3
divu_1, passed, 9.93348, 0, 0, 0, 0, 0, 3
divu_2, passed, 9.4261, 0, 0, 0, 0, 0, 3
divu_3, passed, 9.77606, 0, 0, 0, 0, 0, 3
divu_4, passed, 9.72801, 0, 0, 0, 0, 0, 3
divu_5, passed, 9.8544, 0, 0, 0, 0, 0, 3
divu_6, passed, 9.59345, 0, 0, 0, 0, 0, 3
divu_7, passed, 9.69079, 0, 0, 0, 0, 0, 3
div_0, passed, 9.55719, 0, 0, 0, 0, 0, 3
div_1, passed, 9.47428, 0, 0, 0, 0, 0, 3
div_2, passed, 9.47611, 0, 0, 0, 0, 0, 3
div_3, passed, 9.88709, 0, 0, 0, 0, 0, 3
div_4, passed, 9.42459, 0, 0, 0, 0, 0, 3
div_5, passed, 9.56367, 0, 0, 0, 0, 0, 3
div_6, passed, 9.73649, 0, 0, 0, 0, 0, 3
div_7, passed, 9.68163, 0, 0, 0, 0, 0, 3
lui_0, passed, 9.96096, 0, 0, 0, 0, 0, 1
lui_1, passed, 9.63604, 0, 0, 0, 0, 0, 1
multu_0, passed, 9.94239, 0, 0, 0, 0, 0, 3
multu_1, passed, 9.48953, 0, 0, 0, 0, 0, 3
multu_2, passed, 9.55546, 0, 0, 0, 0, 0, 3
multu_3, passed, 9.48229, 0, 0, 0, 0, 0, 3
multu_4, passed, 9.73483, 0, 0, 0, 0, 0, 3
multu_5, passed, 9.56676, 0, 0, 0, 0, 0, 3
multu_6, passed, 9.44535, 0, 0, 0, 0, 0, 3
multu_7, passed, 9.70673, 0, 0, 0, 0, 0, 3
mult_0, passed, 9.75818, 0, 0, 0, 0, 0, 3
mult_1, passed, 9.44363, 0, 0, 0, 0, 0, 3
mult_2, passed, 9.55427, 0, 0, 0, 0, 0, 3
mult_3, passed, 10.6766, 0, 0, 0, 0, 0, 3
mult_4, passed, 9.52818, 0, 0, 0, 0, 0, 3
mult_5, passed, 9.44713, 0, 0, 0, 0, 0, 3
mult_6, passed, 9.45308, 0, 0, 0, 0, 0, 3
mult_7, passed, 9.84436, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 9.57511, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 9.41391, 0, 0, 0, 0, 0, 2
nop, passed, 9.7421, 0, 0, 0, 0, 0, 3
nor_0, passed, 9.46595, 0, 0, 0, 0, 0, 1
nor_1, passed, 9.90762, 0, 0, 0, 0, 0, 1
nor_2, passed, 9.50302, 0, 0, 0, 0, 0, 1
nor_3, passed, 9.47769, 0, 0, 0, 0, 0, 1
ori_0, passed, 9.46391, 0, 0, 0, 0, 0, 1
ori_1, passed, 9.62735, 0, 0, 0, 0, 0, 1
ori_2, passed, 9.62882, 0, 0, 0, 0, 0, 1
ori_3, passed, 9.54874, 0, 0, 0, 0, 0, 1
ori_4, passed, 9.78198, 0, 0, 0, 0, 0, 1
or_0, passed, 9.44359, 0, 0, 0, 0, 0, 1
or_1, passed, 9.58444, 0, 0, 0, 0, 0, 1
or_2, passed, 9.6581, 0, 0, 0, 0, 0, 1
or_3, passed, 9.46258, 0, 0, 0, 0, 0, 1
or_4, passed, 9.59951, 0, 0, 0, 0, 0, 1
sllv_0, passed, 9.99864, 0, 0, 0, 0, 0, 1
