name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 8.20325, 1, 1, 4, 1, 4, 1
addiu_1, passed, 8.5157, 1, 1, 8, 5, 8, 5
addiu_2, passed, 8.49567, 1, 1, 10, 3, 10, 3
addiu_3, passed, 8.15598, 1, 1, 4, 1, 4, 1
addiu_4, passed, 8.29512, 1, 1, 6, 1, 6, 1
addi_0, passed, 8.17669, 1, 1, 4, 1, 4, 1
addi_1, passed, 8.51771, 1, 1, 8, 5, 8, 5
addi_2, passed, 8.50035, 1, 1, 10, 3, 10, 3
addi_3, passed, 8.24849, 1, 1, 4, 1, 4, 1
addu_0, passed, 8.32659, 1, 1, 6, 1, 6, 1
addu_1, passed, 8.2534, 1, 1, 6, 1, 6, 1
addu_2, passed, 8.29139, 1, 1, 6, 1, 6, 1
addu_3, passed, 8.18317, 1, 1, 5, 1, 5, 1
addu_4, passed, 8.16164, 1, 1, 5, 1, 5, 1
addu_5, passed, 8.22837, 1, 1, 6, 1, 6, 1
addu_6, passed, 8.29819, 1, 1, 6, 1, 6, 1
add_0, passed, 8.25265, 1, 1, 6, 1, 6, 1
add_1, passed, 8.24557, 1, 1, 6, 1, 6, 1
add_2, passed, 8.24421, 1, 1, 6, 1, 6, 1
add_3, passed, 8.19471, 1, 1, 5, 1, 5, 1
add_4, passed, 8.20624, 1, 1, 5, 1, 5, 1
add_5, passed, 8.2573, 1, 1, 6, 1, 6, 1
andi_0, passed, 8.25846, 1, 1, 6, 1, 6, 1
andi_1, passed, 8.24657, 1, 1, 6, 1, 6, 1
andi_2, passed, 8.28334, 1, 1, 6, 1, 6, 1
andi_3, passed, 8.25767, 1, 1, 6, 1, 6, 1
andi_4, passed, 8.26545, 1, 1, 6, 1, 6, 1
and_0, passed, 8.24046, 1, 1, 6, 1, 6, 1
and_1, passed, 8.23603, 1, 1, 6, 1, 6, 1
and_2, passed, 8.28061, 1, 1, 6, 1, 6, 1
and_3, passed, 8.31732, 1, 1, 6, 1, 6, 1
and_4, passed, 8.28823, 1, 1, 6, 1, 6, 1
divu_0, passed, 8.52413, 1, 1, 12, 3, 12, 3
divu_1, passed, 8.65066, 1, 1, 12, 3, 12, 3
divu_2, passed, 8.72764, 1, 1, 12, 3, 12, 3
divu_3, passed, 8.77757, 1, 1, 12, 3, 12, 3
divu_4, passed, 8.53849, 1, 1, 12, 3, 12, 3
divu_5, passed, 8.53313, 1, 1, 12, 3, 12, 3
divu_6, passed, 8.62501, 1, 1, 12, 3, 12, 3
divu_7, passed, 8.56356, 1, 1, 12, 3, 12, 3
div_0, passed, 8.57092, 1, 1, 13, 3, 13, 3
div_1, passed, 8.59048, 1, 1, 13, 3, 13, 3
div_2, passed, 8.67477, 1, 1, 13, 3, 13, 3
div_3, passed, 8.532, 1, 1, 13, 3, 13, 3
